accession name	SRR	Systematic Name	Origin	Skin hairiness	Fruit shape	Fruit flesh color	Flesh adhesion	Flesh firmness	Flesh taste	Flower type	Flower Shape	Fruit SSC (%)		Fruit weight (g)		Leaves gland	Growth habit	Internode length (cm)	Fruit development period (days)	Plant growth period (days)	Chilling requirements (hours)
Zhao Shu Huang Gan	SRR830505	P. persica (L.) Batsch.	Gansu, China	Peach	Round	Yellow	Clingstone	Non-melting	Acid	Single	Showy	-	10,3	-	143,5	Reniform	Common	2,48	116	266	700
Zhong Hua Shou Tao	SRR1994353	P. persica (L.) Batsch.	Shandong, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	17,5	-	260	Reniform	Common	2,12	190	256	950
Zhong You Pan Tao 2	SRR1994381	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Nectarine	Flat	Yellow	Clingstone	Melting	Sub-acid	-	Non-showy	18	-	80	83,5	-	-	-	-	-	-
Zhong You Pan Tao 4	SRR1994382	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Nectarine	Flat	Yellow	Clingstone	Non-melting	Sub-acid	Single	Non-showy	18	-	120	-	-	-	-	-	-	-
Zhong You Tao 4	SRR1994354	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Nectarine	Round	Yellow	Clingstone	Melting	Sub-acid	Single	Non-showy	-	11	-	150	-	-	-	-	-	-
Zhong You Tao 4 Zao Shu Ya Bian	SRR1994355	P. persica (L.) Batsch.	Improved variety from mutation, Anhui, China	Nectarine	Round	Yellow	-	Melting	Sub-acid	Single	Non-showy	-	11	-	150	-	-	-	-	-	-
Zhong You Tao 5	SRR1994372	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Nectarine	Round	White	Clingstone	Melting	Sub-acid	Single	Non-showy	-	8	110,1	150	-	-	-	-	-	-
Zhong You Tao 5 Zao Shu Ya Bian	SRR1994364	P. persica (L.) Batsch.	Improved variety from mutation, Guangxi, China	Nectarine	Round	White	-	Melting	Sub-acid	Single	Non-showy	10	-	133	125,1	-	-	-	-	-	-
Zhong You Tao 9	SRR1994389	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Nectarine	Round	White	Clingstone	Melting	Sub-acid	Single	Non-showy	10	-	143,1	161	-	-	-	-	-	-
Zhong You Tao 9 Hei Xian Bai Rou Ya Bian	SRR1994356	P. persica (L.) Batsch.	Improved variety from mutation, Anhui, China	Nectarine	Round	White	-	Melting	Sub-acid	Single	Non-showy	-	15	-	216	-	-	-	-	-	-
Zhong You Tao 9 Huang Rou Ya Bian	SRR1994368	P. persica (L.) Batsch.	Improved variety from mutation, Anhui, China	Nectarine	Round	Yellow	-	Melting	Sub-acid	Single	Non-showy	-	10	-	161	-	-	-	-	-	-
Zhong You Tao 9 Wang Shu Ya Bian	SRR1994359	P. persica (L.) Batsch.	Improved variety from mutation, Anhui, China	Nectarine	Round	White	-	Melting	Sub-acid	Single	Non-showy	-	10	-	161	-	-	-	-	-	-
Zhu Fen Chui Zhi	SRR830561	P. persica (L.) Batsch.	Hebei, China	Peach	Round	White	Clingstone	Melting	Acid	Double	Showy	-	10	-	16	Reniform	Willow	2,01	169	256	1050
